Id,Wire-Length,Wire-Width,Temperature,Resistance
29,4.32084927912e-06,1.22088877466e-07,54.0570865468,54.4480162859
30,5.51994041758e-06,8.85316923667e-08,57.9150743567,95.4632077692
31,4.55929592211e-06,1.33785007063e-07,42.9600662748,52.1643038036
32,6.0113407828e-06,1.03170452161e-07,45.2979041521,99.2846958417
33,4.43490084349e-06,8.50944673881e-08,48.676149708,81.4154618001
34,4.925820939e-06,7.5213115838e-08,54.8879810803,105.013551383
35,4.94108353355e-06,1.02563532079e-07,38.0335531047,71.3640807328
36,5.56557030709e-06,7.32410278425e-08,47.6917361667,107.712124893
37,4.18174411604e-06,9.68000509351e-08,43.8895405501,62.7304771194
38,5.93953171809e-06,1.04058024374e-07,57.1976690144,95.4023377663
39,4.83207178846e-06,1.18451914633e-07,53.3370274486,70.9614600147
40,7.6353098764e-06,8.63108484382e-08,55.3193994016,149.267092724
41,5.8579766149e-06,9.12117944922e-08,63.4260986492,103.998778014
42,7.38768020385e-06,1.18845813379e-07,51.3834987711,101.002083911
43,5.86923282065e-06,1.22246247642e-07,47.430573678,71.9570202738
44,4.372747527e-06,8.66432510056e-08,27.9171817161,75.7419748062
45,5.23057748593e-06,9.6230390466e-08,50.975654617,84.6118968015
46,4.95158571099e-06,1.38802919587e-07,39.9504176486,56.8831033379
47,3.84863692196e-06,1.18298949719e-07,26.0234369144,53.1228829345
48,5.58139609127e-06,1.0578962115e-07,50.6313871183,89.252553962
49,5.97237574174e-06,1.04253793806e-07,42.4037872247,96.5425941777
50,4.38806580991e-06,9.87219256072e-08,45.2993190954,60.4823770945
51,5.90267334641e-06,7.50043265198e-08,62.8597944993,142.392460746
52,5.0656549647e-06,9.64383474783e-08,48.3726530163,84.2764048429
53,4.47522102502e-06,7.51937672722e-08,72.12166259,98.2870353582
54,5.86218270554e-06,9.83385116287e-08,47.8334056223,90.4836163046
55,5.39522015173e-06,8.84265218331e-08,44.4163176938,98.6200489561
56,6.80078530218e-06,1.11427516982e-07,57.5681746178,101.906991191
57,5.52259775249e-06,8.09979679893e-08,59.7599360063,109.271021087
58,4.36737128567e-06,6.3185524364e-08,59.0525683437,139.797114152
59,6.4525047941e-06,8.01227580985e-08,36.0534122875,120.597123005
60,5.54818941315e-06,8.99497786663e-08,52.7369872919,97.78232614
61,5.54033887095e-06,1.17843008461e-07,50.4847677181,72.7522113093
62,4.30665745309e-06,1.15584447578e-07,64.3548226423,63.6615638087
63,3.90496042908e-06,8.65889424269e-08,45.7408704988,71.4799377086
64,4.69103967809e-06,1.09043537706e-07,50.3668996439,71.5556304309
65,4.99413294389e-06,1.19666002936e-07,38.6454650775,64.8286612145
66,4.40511293133e-06,8.92261833423e-08,56.9822494834,69.1862124226
67,6.61664213888e-06,1.05345689205e-07,59.1452076574,98.3464223444
68,7.45287659769e-06,1.01816093752e-07,52.726465276,113.654175445
69,4.37168358795e-06,1.49248662309e-07,70.0895619513,52.735421234
70,3.06684440354e-06,1.2325718827e-07,74.2451949356,42.8660175063
71,4.63748121814e-06,1.19795247619e-07,45.0363425135,64.5212502708
72,4.70288382808e-06,1.14269071057e-07,61.1242762537,70.0746947344
73,4.86230988365e-06,1.26050855867e-07,58.9773879749,65.6550052284
74,2.42016962426e-06,5.17023508556e-08,43.6023321089,89.1312250876
75,4.91874814561e-06,1.0859117089e-07,38.486752771,64.5929770484
76,4.60608650741e-06,8.80989578827e-08,76.2213618965,84.4285911853
77,5.12285200867e-06,1.23234185992e-07,28.2889578537,59.1891482296
78,4.63587436763e-06,1.23333491658e-07,58.67848464,61.3745778135
79,4.79772452126e-06,1.10460073872e-07,46.4074417452,66.4390516791
80,4.68643633433e-06,9.8646511929e-08,43.5416060751,73.4389867732
81,5.35151629685e-06,9.84918941601e-08,33.3005373507,77.36671386
82,4.18870334818e-06,1.03330293888e-07,49.0998371782,70.4119942487
83,5.28086564277e-06,1.21350375493e-07,41.3106187454,71.9853699499
84,6.70967443277e-06,1.30729633033e-07,47.5586578682,83.3469009367
85,5.83743537295e-06,8.79660463353e-08,46.7172989256,98.3046614695
86,4.90528653763e-06,8.70243028292e-08,56.1738235402,88.1992943221
87,4.38652024795e-06,1.09724882293e-07,64.1821175188,72.8580226147
88,4.47411454166e-06,1.14673578561e-07,43.0490571333,56.2753201522
89,5.14188584229e-06,1.19817623498e-07,60.7058701111,70.7117403258
90,5.01661002075e-06,1.14421604525e-07,58.4400809804,71.0723859098
91,5.53927233011e-06,6.73881716412e-08,53.0815343299,124.991184974
92,4.99988934875e-06,1.02843670716e-07,31.7301177447,74.2859039798
93,3.84458336268e-06,1.11588487937e-07,54.9661953207,56.0147445111
94,6.40035589227e-06,1.18115856732e-07,39.0965023109,78.1333881105
95,5.92529562521e-06,7.94365729709e-08,68.5300655487,129.040530596
96,4.74561815466e-06,7.29754621656e-08,33.9982542641,94.0279712581
97,5.65766732458e-06,1.48549131608e-07,39.3734949052,60.2946022409
98,5.42200673203e-06,6.71621148093e-08,31.96959124,123.484754629
99,4.78873112994e-06,1.15000383388e-07,27.4870625108,60.354758585
100,3.43149418153e-06,9.41159001049e-08,45.7093265459,63.0709697879
101,4.85894092223e-06,1.02715964869e-07,47.8323413905,84.1364983162
102,6.35386824385e-06,1.0439323905e-07,42.4727548591,98.5370794626
103,6.05718222757e-06,1.17968483912e-07,35.9740134025,88.150270595
104,6.05686085077e-06,9.96506266954e-08,47.490129493,92.3168928092
105,7.25812410046e-06,7.52939527144e-08,62.0571786446,162.325074456
106,5.90285940696e-06,7.97330488638e-08,59.1152703225,118.619680175
107,4.0601533926e-06,1.26043944053e-07,32.3782158827,45.5925480617
108,4.37479251567e-06,1.11970389825e-07,65.3064990983,64.6807731209
109,5.56778791698e-06,6.8879261519e-08,33.5469982773,117.683498781
110,5.09469301388e-06,8.36901899228e-08,36.8621158893,88.8913757087
111,5.70835027283e-06,9.02181795282e-08,54.626510227,91.595276978
112,6.17142863411e-06,1.03020583857e-07,65.8836499224,91.1975227921
113,4.66075479493e-06,7.65964965723e-08,21.7171232461,82.6920941174
114,5.39799642173e-06,9.99214105643e-08,55.0244816148,88.8569340093
115,3.39886878833e-06,1.37447848769e-07,50.4145791239,37.9263600618
116,3.86120712571e-06,1.16305409295e-07,43.9500096248,52.7682564253
117,5.53006530054e-06,1.19725894695e-07,67.2077304724,75.2836616208
118,5.20075519088e-06,1.1808046829e-07,40.7852871658,69.6099761986
119,3.16546819561e-06,1.04980096816e-07,37.1946294514,40.8643425904
120,5.97806784744e-06,1.06959621753e-07,52.6264018935,94.9648622868
121,5.04830931227e-06,8.17527812663e-08,59.4878960219,95.0533520401
122,4.1440478846e-06,7.12507042582e-08,58.4533581331,91.0457957154
123,5.28158716724e-06,1.10700699247e-07,48.8802345951,71.5828217773
124,5.15004151288e-06,7.10976208031e-08,72.6883141884,133.56457334
125,4.41113645677e-06,1.17213545423e-07,47.9234145934,59.8817583004
126,7.74564850606e-06,1.03636761324e-07,29.1019863423,114.66543532
127,6.34998986785e-06,1.14099826837e-07,39.5541311914,79.8957344695
128,4.65133234211e-06,1.30335194713e-07,41.2334947084,54.6810310276
129,5.85314198387e-06,1.04750236811e-07,85.4227696347,98.461453023
130,7.68415171414e-06,6.99971636838e-08,38.3061388458,164.602602359
131,5.43860088759e-06,4.57676183031e-08,59.7245407216,200.529387943
132,3.38486308745e-06,8.3358842706e-08,24.0923138951,69.6210709304
133,5.51030024514e-06,9.26135853496e-08,40.5493435831,91.6271234773
134,4.58721119244e-06,8.19525349107e-08,62.8287150031,87.4002017742
135,6.35436314972e-06,1.27478476769e-07,57.1665523824,80.3470051263
136,3.743742584e-06,8.8636236296e-08,44.7227577351,66.2315451306
137,3.60035171721e-06,5.01435017421e-08,43.4345463186,121.126996315
138,5.29234187518e-06,9.34745177931e-08,38.4764668789,88.9104988219
139,5.90574868945e-06,8.78117662291e-08,51.2053441735,110.75363137
140,4.06920374515e-06,9.8952229583e-08,47.5631226469,62.9605551672
141,6.08228313229e-06,8.42241806937e-08,31.933670206,99.8595825465
142,4.9892993378e-06,7.52617039995e-08,62.1612559441,113.437493364
143,4.47865527055e-06,1.0027219059e-07,59.2505788967,68.486885207
144,4.20944254614e-06,1.11454955074e-07,48.9237677194,55.7177080788
145,3.80584916362e-06,1.54327489333e-07,50.8822650213,34.7496054601
146,4.16845357457e-06,1.22687591013e-07,60.0580500377,59.4517796434
147,5.69294151238e-06,9.61021908732e-08,63.9400471803,99.3508696851
148,4.48095228023e-06,9.15715166821e-08,30.1962135048,72.4267072862
149,5.81590818836e-06,1.09564547737e-07,41.6279125084,84.4385376037
150,5.36187225822e-06,1.2364808763e-07,73.6473301455,75.4271929315
151,5.8691284147e-06,9.86014020761e-08,41.7787544281,85.6274519983
152,5.29344205027e-06,1.06818256072e-07,85.759382846,85.4782848694
153,5.39674266612e-06,9.652520177e-08,43.756427296,89.5087787886
154,4.82718857025e-06,8.33638329255e-08,61.6898628434,95.170016444
155,5.32104446069e-06,9.51829129745e-08,52.8636009442,91.6312638666
156,5.49297973688e-06,8.89455836027e-08,48.5734038356,96.352959782
157,6.04978730088e-06,1.14547593395e-07,50.2969289759,80.0463893624
158,3.84048631429e-06,1.21218694001e-07,34.0900941764,46.9653233955
159,5.05852864165e-06,1.0472778538e-07,61.4725850495,79.9846526881
160,4.78135885131e-06,1.1697648394e-07,53.9421655549,63.9318152237
161,4.62768475104e-06,1.28018236458e-07,57.2850357177,62.0591546517
162,5.63028709218e-06,1.12024382782e-07,44.4163640424,77.6187849308
163,6.13065329532e-06,1.025724108e-07,53.7863677854,95.7289464676
164,4.21858764586e-06,1.02104582445e-07,50.31010219,69.1549974595
165,4.25311011201e-06,8.28911703415e-08,58.3912219228,87.2707161353
166,5.52398644518e-06,8.90459873725e-08,60.8123603844,111.885286567
167,4.66360528036e-06,1.08369574979e-07,42.1226998641,66.7793330918
168,3.99202859106e-06,1.05092164372e-07,33.3362263268,57.3098213423
169,5.31133500733e-06,8.50396017154e-08,47.007914882,95.6276180337
170,6.62952261895e-06,1.07759923238e-07,61.9483613805,104.999270118
171,4.69873988192e-06,1.32321618852e-07,59.5320379147,56.908571731
172,6.63706487447e-06,7.51926723953e-08,27.8765051134,120.2503927
173,4.58445421687e-06,1.1759858945e-07,49.3836878373,59.2417403255
174,5.18714399365e-06,1.30588151486e-07,38.3909772231,59.4847097633
175,5.19903967097e-06,1.05163347547e-07,45.3910427128,76.8386130853
176,6.09522458526e-06,1.04528845752e-07,42.3333234557,88.4811939102
177,4.95304873451e-06,8.26425916312e-08,51.6913188704,94.9396272972
178,3.59143650183e-06,4.36659389071e-08,38.8380437599,135.72382553
179,4.47153355043e-06,9.58738696921e-08,45.8671461768,68.811773439
180,5.61579153885e-06,1.29445914166e-07,76.6902721252,76.6893523021
181,4.68900070169e-06,9.36713916197e-08,71.2254402196,83.7716415394
182,6.44217960784e-06,6.26935020527e-08,23.3567302526,149.464834339
183,3.13119703763e-06,9.70805944412e-08,51.003489488,46.5783710303
184,5.79185804677e-06,9.77806580139e-08,57.0064438973,97.9453090953
185,4.2779273773e-06,1.03379322448e-07,56.9825871309,63.5427032754
186,5.167074223e-06,1.00487109733e-07,62.5036624461,76.7001484935
187,5.87297577457e-06,1.1794034309e-07,87.9909593838,82.9138818838
188,6.26145699626e-06,1.30679898592e-07,54.3576555758,82.9652593635
189,3.53129592929e-06,4.90865780452e-08,48.359281519,94.8758759245
190,5.65884178837e-06,5.50650020516e-08,45.8964394099,166.379778003
191,4.80886921682e-06,1.26997843646e-07,51.6129794429,58.2473454792
192,5.15128805492e-06,9.68116036485e-08,53.4226013154,84.7005933542
193,4.38575476451e-06,9.30598806913e-08,56.195110954,87.372014716
194,4.63178089778e-06,8.82645814982e-08,53.7470911498,84.4836411968
195,5.01849364797e-06,1.34163756652e-07,24.320008806,51.6797921472
196,4.15891862234e-06,9.51089654095e-08,60.3301745153,67.9929612124
197,4.24888550995e-06,1.16003267368e-07,43.4230289431,61.0280921662
198,4.10043947929e-06,1.27762652447e-07,30.3943254196,48.5402120644
199,4.56120330394e-06,1.19552006819e-07,49.7081882659,60.2482352524
200,7.12836456568e-06,1.29450052104e-07,38.8940532356,84.9566517415
201,1.40241885672e-06,7.4518254595e-08,57.2755615222,35.4010931933
202,3.56879101475e-06,1.27664536676e-07,40.6954251166,42.5962243351
203,5.91656385897e-06,9.12380688282e-08,51.7983702207,110.871398662
204,3.70627105589e-06,7.60208227307e-08,47.0548434841,79.5536124189
205,4.42323743678e-06,1.26251800491e-07,48.4100443761,59.9822969246
206,6.22166305405e-06,9.37388683932e-08,60.3943268522,113.607008214
207,5.61892138613e-06,9.3102163248e-08,53.0906867633,96.4198636976
208,5.38621377145e-06,9.88024640765e-08,52.1469382909,94.4746298488
209,4.33583165951e-06,1.18875352828e-07,60.0677513783,55.7217507355
210,3.8621745487e-06,7.79761156911e-08,62.1861829844,92.3738114362
211,4.0239955371e-06,1.10156792051e-07,34.9325954055,51.8883282251
212,6.82352574282e-06,9.26273496291e-08,32.4602264238,110.770873529
213,4.61637083431e-06,9.30377517822e-08,55.9994023527,77.8170815276
214,5.25925315551e-06,1.01317633188e-07,51.3344065989,79.2938793786
215,4.08829740053e-06,8.04781924956e-08,36.8331305887,80.2338681854
216,5.86519109037e-06,8.19252651095e-08,57.7729377681,113.646329446
217,5.05211822647e-06,1.0423044218e-07,43.2093558246,68.2262698101
218,5.39131894181e-06,9.07727903789e-08,42.7602524125,95.3123862608
219,4.67966420435e-06,9.85401977727e-08,30.1992371483,71.2476730808
220,5.26610767688e-06,1.25993998355e-07,67.917435837,73.5085259023
221,7.20619830931e-06,9.33980919491e-08,44.900505672,124.224973049
222,4.13323869801e-06,1.45220097606e-07,64.2203076944,49.284024081
223,3.16086159259e-06,9.18785552394e-08,28.3856690788,50.7216943748
224,4.62146414691e-06,1.17964116895e-07,54.0065489717,65.7272544267
225,4.42957062835e-06,1.01130153489e-07,49.8001442287,68.3691029314
226,3.18818033574e-06,9.51335004e-08,66.1104040148,62.0757545611
227,4.14254607846e-06,1.13882769378e-07,36.4143091313,49.4945030354
228,4.88792918561e-06,9.16007277821e-08,57.1669914603,99.5045157671
229,5.87474044264e-06,8.38341155294e-08,46.0286379573,98.87251318
230,4.27247231157e-06,1.39018313041e-07,58.3063097337,51.5608918305
231,5.16622392147e-06,8.70190560641e-08,50.5200443817,100.495052895
232,4.24860559862e-06,9.592768717e-08,65.2710751681,77.5058091411
233,6.45692188476e-06,1.22244178499e-07,50.6750167754,81.7408331878
234,6.12068483743e-06,1.22744647904e-07,55.2242031104,79.8786502748
235,5.26946401314e-06,8.59621261008e-08,58.3081648653,105.741513062
236,5.43978597629e-06,9.09744217032e-08,65.1044937984,105.856810736
237,4.44033128806e-06,1.05427354682e-07,52.1927564335,71.967491547
238,4.76018040874e-06,1.103950138e-07,31.8673510261,61.0097192147
239,6.26964638946e-06,8.07432766412e-08,72.8681015463,132.260995653
240,5.6703393362e-06,1.17706973176e-07,50.2808561334,80.2870203951
241,6.1160551777e-06,8.85871613776e-08,53.9804278743,110.748389169
242,5.49986049942e-06,1.00574693941e-07,72.8631661285,93.3894787614
243,6.97100888796e-06,9.69418496899e-08,42.2763360311,124.145965586
244,5.7966478147e-06,5.85924923567e-08,64.3595648786,179.004839168
245,5.12458482123e-06,8.28132638483e-08,64.8512887643,107.463380344
246,3.03834752958e-06,9.60764144963e-08,51.2188916118,52.4910502471
247,4.79036045738e-06,1.07562327925e-07,54.5140896129,65.2701830693
248,6.25456403907e-06,8.31254736377e-08,72.8226177243,140.703782891
249,3.04107836703e-06,7.30756696623e-08,50.2872176192,69.6939310255
250,5.47133783857e-06,9.2051594569e-08,38.1698533073,106.816706489
251,6.16569387549e-06,9.74930970305e-08,51.1337975183,100.471554625
252,4.71050938584e-06,1.1347488341e-07,66.0272839862,67.3544516371
253,5.3162568372e-06,7.09266833339e-08,44.376211404,111.413488787
254,4.04732595218e-06,1.01671855711e-07,43.9661222201,60.4345162395
255,5.13778818765e-06,9.63856902844e-08,44.5151043297,87.3762156207
256,4.87902078809e-06,9.27075168189e-08,46.017926566,81.9923106504
257,4.39012259475e-06,1.3750622493e-07,60.7211677729,58.9373530773
258,3.98967690431e-06,1.08530806793e-07,57.0750872526,63.594483844
259,4.03198471889e-06,1.21828842735e-07,66.5996683626,59.7664763805
260,4.6417158522e-06,8.41098303658e-08,65.5596694879,85.6501472597
261,3.74225006355e-06,1.04011645547e-07,49.7997001576,57.3535446791
262,5.72401432321e-06,9.21125867391e-08,39.7822197641,97.5937989131
263,4.94980054284e-06,1.0790607561e-07,53.526025695,74.8199103067
264,6.11031274355e-06,8.41988722109e-08,46.900350795,105.993948422
265,3.87697114218e-06,1.2700855245e-07,41.2689343619,46.6725438964
266,6.70098139793e-06,4.94699790622e-08,21.3841835256,195.363678095
267,5.65349306889e-06,1.24357200933e-07,51.0667512864,75.4544795004
268,3.89937481376e-06,1.04733189002e-07,46.9752448309,55.4210199563
269,6.21838969491e-06,7.78238744601e-08,62.9758718301,124.53411292
270,4.64752653773e-06,8.9426738543e-08,47.5535005079,89.0202756252
271,5.31388989255e-06,1.01335570438e-07,54.113538252,81.4463001142
272,5.47045995114e-06,9.0390989931e-08,80.8572612793,105.960675014
273,5.46714264342e-06,7.42185823067e-08,54.1340115614,125.253030218
274,5.12867750323e-06,9.89829566553e-08,67.7800082536,90.631044762
275,5.50939716636e-06,1.08521139623e-07,69.9092205496,83.2133386957
276,4.53039422161e-06,8.92579295709e-08,68.3058284114,87.8970673761
277,4.74374860631e-06,8.88338177142e-08,59.9045887198,79.9230370478
278,5.80024294564e-06,1.15616008572e-07,39.2893698491,75.4046762068
279,3.60525709471e-06,1.00163088907e-07,49.208415197,54.8107850913
280,5.09492257636e-06,9.13181668038e-08,49.5394197245,88.0333329805
281,5.15085890724e-06,9.85352019625e-08,59.4968307134,87.377813953
282,4.35010527983e-06,1.04194401546e-07,68.4820888954,67.7542225575
283,6.05347814161e-06,1.42107009782e-07,34.418343762,61.4376147675
284,4.44522703211e-06,8.96367552554e-08,48.0516201484,82.1225589101
285,7.18717138855e-06,9.07205194906e-08,79.3929598132,143.473270483
286,3.19425340266e-06,1.08366291221e-07,45.2555192101,51.4102481706
287,4.90267939091e-06,7.98299484016e-08,21.4530604629,87.8999319065
288,4.55119140225e-06,7.99998045719e-08,54.3928932571,99.9938758929
289,4.90577834362e-06,8.35129425127e-08,65.4308574841,102.307692033
290,4.64732705192e-06,9.80268792199e-08,49.6361811336,78.043156266
291,5.27299526032e-06,9.85905095185e-08,44.3130877921,83.6136793812
292,4.65283546564e-06,7.22576076866e-08,44.0744117149,98.8404480591
293,3.78425016603e-06,8.99204862021e-08,30.4439745037,55.9818581286
294,5.9446844079e-06,1.28837100479e-07,40.2738002992,69.3332315286
295,5.05647272987e-06,1.04798397278e-07,37.0930739641,70.8223700131
296,5.1068646638e-06,1.2523602591e-07,39.114164084,62.7680856099
297,4.87931009347e-06,8.48161008147e-08,44.9282951919,90.2675732342
298,5.29768489801e-06,1.13203312871e-07,45.6855044084,76.78657127
299,4.99960146562e-06,6.92080531537e-08,51.8403778297,133.151138789
300,5.05499409975e-06,9.12403132592e-08,53.2490663476,90.6851727382
301,5.22932011634e-06,1.08030765391e-07,53.052108347,80.8060338111
302,3.22532433594e-06,1.15149869958e-07,49.7126898612,49.4645967799
303,4.39053839741e-06,1.26598561023e-07,42.0436684523,52.2597476245
304,4.51900924617e-06,1.43301617762e-07,60.7718780023,57.3342615282
305,8.00214137952e-06,1.18842716764e-07,51.6238820069,112.535432545
306,6.15295171249e-06,1.00774289576e-07,58.4132750982,104.08247401
307,5.56246651882e-06,6.02441578167e-08,39.5488219034,138.394417803
308,5.73466679376e-06,9.70362285976e-08,53.5412577522,95.6763852691
309,4.81943277037e-06,8.37160662167e-08,47.0783584177,88.1873866751
310,5.11201534444e-06,8.46414209212e-08,67.7417289526,100.414723208
311,4.68805311051e-06,8.05068119123e-08,51.4129644518,99.0938932955
312,4.33824908056e-06,8.83088106448e-08,40.5733835801,78.2291691511
313,5.16083732064e-06,1.15192690058e-07,50.1759339964,79.7383969335
314,7.48396858424e-06,8.49238685775e-08,38.1365663627,142.816147819
315,6.20859765188e-06,1.23093613281e-07,45.3394844776,79.9394972272
316,4.77796489177e-06,8.87479479774e-08,50.698634819,80.3188766327
317,4.037606301e-06,7.2054494802e-08,39.7506619152,97.3348690183
318,5.0858490344e-06,1.34978368277e-07,50.9530810405,58.2688579801
319,5.90734010692e-06,1.1477818313e-07,45.6995949754,87.0046267688
320,3.91597925883e-06,8.11169693323e-08,78.0758706289,85.3515854085
321,6.33785308334e-06,8.98552358463e-08,47.1649592517,113.094389912
322,5.28907546018e-06,6.77835640884e-08,64.7148848809,132.652486664
323,6.50379881009e-06,7.97253745017e-08,61.8627172702,145.589036554
324,4.33977100171e-06,8.67078351688e-08,66.6308274311,80.7971324456
325,3.77602102021e-06,1.21928888871e-07,53.0291500469,48.5725746924
326,6.36357990297e-06,7.13042549155e-08,40.2481299814,132.524955047
327,4.44679191202e-06,8.23515577308e-08,36.4860518044,88.5578475298
328,5.54455230697e-06,1.28534150903e-07,65.5857709379,74.3049148305
329,5.01776860357e-06,1.19594786306e-07,38.4314815688,64.010132617
330,5.64974354621e-06,9.6803809852e-08,57.5339011393,96.8547857712
331,5.85030751514e-06,1.06049530554e-07,40.9365674504,96.3905935788
332,5.72820254479e-06,1.26584607993e-07,65.5783846658,76.0355529922
333,5.4006353791e-06,1.24642957828e-07,39.2853159244,67.2724050538
334,4.12168317412e-06,1.30129355895e-07,48.2133697674,50.2033252503
335,4.3683856321e-06,1.0345448906e-07,20.9779609377,60.4607111717
336,4.80147035299e-06,1.01397629787e-07,59.2680797565,80.7111595296
337,5.80967354899e-06,6.9955793297e-08,76.1715491143,142.881009869
338,5.30745034637e-06,1.17962010023e-07,52.6169804059,72.4538377208
339,4.11897701899e-06,1.19836213448e-07,63.081255186,52.4257148808
340,4.33073978845e-06,8.70004905704e-08,36.9491084746,74.1816120244
341,6.13725827559e-06,1.13512402068e-07,52.8572265008,88.0651328494
342,4.71750300238e-06,8.80459270639e-08,32.7153056003,82.8003404571
343,4.65190135753e-06,1.50999978388e-07,50.4038378044,52.4323960674
344,6.15025112303e-06,7.39470021381e-08,57.4468071846,137.116676432
345,5.93939564755e-06,7.8987780124e-08,61.085276978,130.054932973
346,3.84336252418e-06,9.52701354322e-08,63.5634961169,75.6151373019
347,5.47036181123e-06,1.19004877915e-07,69.8105166315,78.3209946737
348,3.45888114812e-06,7.57364454204e-08,70.8517325763,79.2164494979
349,4.71987442275e-06,1.01786433664e-07,63.9763422836,78.210711466
350,4.19888300306e-06,1.15764312402e-07,72.2169517554,60.130645943
351,4.98477708227e-06,1.33313904697e-07,44.4893689639,57.3310930054
352,2.59238514181e-06,9.97996544266e-08,66.6354321309,47.7734808304
353,5.66540667728e-06,1.05239207002e-07,60.0731727337,87.9332465396
354,3.74147949325e-06,1.23903267969e-07,43.2838034227,47.5506248164
355,7.39219364307e-06,9.1938724081e-08,59.3697379744,121.514408124
356,4.43732931515e-06,8.59421048095e-08,44.2855300357,90.8327571986
357,4.09572067047e-06,1.01683924096e-07,66.3637986353,71.6014926462
358,5.90804414562e-06,8.20571691781e-08,68.1116453465,122.696393153
359,4.33275924899e-06,1.15249147304e-07,44.2529184216,59.6212820914
360,7.1114188105e-06,1.22530542476e-07,63.2634771926,92.357622979
361,5.81087315916e-06,8.88268969744e-08,78.3769431454,117.836909683
362,4.77416825665e-06,6.45322593643e-08,57.5379033707,111.425322346
363,5.60017117253e-06,9.41652575921e-08,41.2082720237,97.941574705
364,4.45055029011e-06,1.04836069289e-07,58.0101518897,72.0673499874
365,4.30562970746e-06,1.34898920209e-07,44.0707145303,45.6660917965
366,3.74212625266e-06,1.0166705491e-07,44.6926058092,57.6883253769
367,5.54924864155e-06,8.57129860284e-08,55.2588192416,104.405530971
368,4.4545662726e-06,1.0863094982e-07,56.282193611,62.8291326983
369,5.2491178829e-06,1.26971870205e-07,41.5671920225,64.9558660503
370,3.39819498787e-06,1.08298561209e-07,40.6103605467,44.5493008229
371,4.57195828623e-06,1.22425192771e-07,41.1257805809,62.6399476796
372,5.23239482264e-06,1.15508335643e-07,58.8538296056,74.3635095322
373,6.90863104155e-06,9.36489328182e-08,51.8376730941,119.769586375
374,6.45691844446e-06,8.23816486845e-08,47.9416906578,113.802937163
375,4.13125665029e-06,1.44892557866e-07,29.3376979444,42.8247989232
376,5.75227820957e-06,1.02085548534e-07,70.4508792432,92.8476554845
377,5.33903318586e-06,4.67757157755e-08,76.9695572764,232.562609729
378,5.81348969216e-06,1.13488461342e-07,50.5627912267,78.0117656298
379,4.20579251519e-06,1.12578324349e-07,45.5389568467,52.9785589307
380,2.89677944586e-06,1.07753102571e-07,70.1384022772,44.3507209727
381,6.08262975115e-06,9.76024632151e-08,41.3469657834,93.7319974273
382,4.67628312453e-06,8.24079250154e-08,17.5456699225,80.1618648121
383,4.38225160896e-06,9.92161993781e-08,38.2686937893,67.7642783759
384,5.3941175585e-06,1.18269822615e-07,29.2704269593,73.0180498505
385,6.39356595558e-06,1.13222649431e-07,51.7009252657,97.7135516178
386,5.45678173089e-06,1.18435582711e-07,52.3686672792,75.1944945904
387,5.14559859891e-06,1.46311948077e-07,52.6335585181,55.8613060476
388,5.59541840984e-06,9.90830454795e-08,60.9340869732,95.2798878038
389,4.64970060795e-06,9.52030137962e-08,35.377545466,73.8369742614
390,4.09613479982e-06,8.00818684686e-08,59.6912446076,90.2607969936
391,6.40633071537e-06,8.94638444518e-08,35.1519538394,101.097950927
